Participant,Activity,Mean,Std,Skewness,Max,Min,Max-Min,Max PSD,Max Frequency,Frequency Centroid,Frequency Bandwidth,Frequency Skewness,Spectral Entropy
Avraam,walking,0.22596820013011848,0.26766550417829343,0.3496516742344415,0.3349779948188044,-0.1815754141945289,0.35553799556396926,-0.22400584483864913,-0.5069497363049674,-0.4499270592869425,-0.005891169728622208,0.11653548090987792,0.16862785663099958
Avraam,walking,0.22122959885923504,0.23431689468211364,-0.12179810029115155,0.15511653422782665,1.1104634161939075,0.10740233908971919,0.08737645477309793,-0.5069497363049674,-0.6357459862292464,-0.4764575958178657,0.18430564037380204,0.1488423392173881
Avraam,walking,0.2353439257046052,0.26081945127277695,0.1302000983003412,0.20945525346603394,0.8134400401152803,0.17789638026814053,0.09345168090579309,-0.5069497363049674,-0.5548161815475285,-0.434212175425809,0.08499599007609034,0.13361103006091812
Avraam,walking,0.19169121377085505,0.2686597670624478,0.05618034753058953,0.16974207617023587,0.49414826540941875,0.15207552047739376,0.05847760907741256,-0.5069497363049674,-0.42462177761042386,-0.3667669752587964,-0.15060347932509704,0.1495832129433413
Avraam,walking,0.16432126501472658,0.20845931435138249,0.08197169736667165,0.05934039957735543,0.41939791358402456,0.04134655999605285,0.0298782889578234,-0.5069497363049674,-0.6006614431493543,-0.46432391790613214,0.09220898068929968,0.173177739048286
Avraam,walking,0.19913275819090756,0.22528465093397596,-0.028311756964681245,0.11825753692137898,0.13875814108729667,0.1157961250648333,-0.00712916953833858,-0.5069497363049674,-0.45856597077368244,-0.36831503748560046,-0.049017890834623504,0.16448131333021793
Avraam,stand or sit,-0.6628825782655765,0.05477163600221366,1.538715875594239,-0.06604797413596185,-0.6609294950367652,-0.03671899751716334,-0.3344797033483622,-0.8431374561703668,-2.056670047722434,-1.2340761337831163,1.9418574705949063,0.4794013525934029
Avraam,stand or sit,-0.9644585668111212,-1.030087804467801,0.9751722375026762,-1.116573093742542,-0.6582637349464852,-1.1245662866417567,-0.6078333516211658,-0.8431374561703668,-0.24779621803339552,0.8778091070361722,-0.2727291945737553,0.5275708526734886
Avraam,stand or sit,-0.9656965414888782,-1.0380443324655342,0.25743855298111973,-1.1291040758290485,-0.6567647453645206,-1.1376127571590835,-0.6079383315709657,-0.8431374561703668,0.9656845547881715,1.339560690371862,-0.8381428676484763,0.5275636507608042
Avraam,stand or sit,-0.9533920782573944,-1.0285163698585809,-0.07934838524309273,-1.1147074749404844,-0.6510498473396297,-1.1229802571151704,-0.6078657165764155,-0.5069497363049674,0.4642031120107776,0.9730649986916409,-0.41200577573972086,0.5276273014593289
Avraam,stand or sit,-0.9591411873707023,-1.0294240089407822,1.0515237958789425,-1.1145871433146648,-0.6534329753129026,-1.1227414810856546,-0.6078957682882817,-0.8431374561703668,0.2443321026804824,0.5064319984841178,-0.48699522815188034,0.5275914499094381
Avraam,stand or sit,-0.9657048323879219,-1.0366549739129942,0.6284508845706289,-1.127072756275985,-0.652842286972768,-1.135697456269654,-0.6078637187179501,-0.8431374561703668,-0.08392685046968827,0.786393821063927,-0.3451250041907271,0.5275835347885659
Avraam,jogging,1.689071943773276,2.0074317889560613,-0.11418152807353182,1.7652934577127626,-0.3198835918995169,1.8431214251224672,1.185040490508761,1.8463643027528285,0.3984325654179006,-0.709487490133952,-0.359771030538546,-1.8958183560964108
Avraam,jogging,2.233550604784602,2.1436031741021506,0.07735486134300373,2.0042806134925746,2.0824039502949985,1.975468062560623,2.2205770524707424,1.958426876041295,0.7255757752437493,-0.6736766034884668,-0.4728813916942483,-2.4543147326888257
Avraam,jogging,2.2797897270729837,2.1991272864531255,-0.13020521239831032,1.959389629442419,3.36115673974558,1.8677181703387755,2.481655943277001,1.958426876041295,0.623820679487458,-0.7270821155210259,-0.5605767916554654,-2.6778231279719313
Avraam,jogging,2.2806126316827373,2.1503385941002433,-0.39240436691674513,2.011866117588698,2.647308920468548,1.9562555635229513,2.657300643590027,1.958426876041295,0.8408697465621747,-0.782394600563917,-0.6191304516350091,-2.3397805851346325
Avraam,jogging,2.3510726355879488,2.197574873745745,-0.4557516577082131,1.9749999265921934,2.2399191545303934,1.9376035719975142,2.567813007918285,1.958426876041295,0.9893762450745002,-0.725169243003931,-0.5029409411337167,-2.520665647897031
Avraam,jogging,2.3494042429535287,2.190865031782159,-0.3292174429060689,2.1252715879395034,1.6711951822497144,2.1204452415900885,2.8700758312145576,1.958426876041295,0.981537895106453,-0.769449935114696,-0.6369189876413193,-2.619269636180658
Avraam,stand or sit,-0.6017893064624354,0.18150864649709605,1.767922935620688,0.6661592954575845,-0.6580322267490102,0.7212736716326701,-0.3214075709214803,-0.8431374561703668,-0.6445209473246132,0.6780625047567551,-0.10636069573784343,0.43267179767187314
Avraam,stand or sit,-0.9755843967828123,-1.0490708059862588,-0.1685944532982391,-1.1435241278556707,-0.6605244912274773,-1.1523632168180926,-0.6079639388325531,-0.6190123095934339,0.7777619952620881,1.0886014546037466,-0.6633870979011484,0.5275319674361696
Avraam,stand or sit,-0.9741653744985846,-1.043852676387259,2.3068307524328504,-1.1315432894398598,-0.662377937516172,-1.139869384863121,-0.6079366225903543,-0.6190123095934339,0.5041905213352638,1.6435814694866404,-0.559105218478579,0.5275529353811438
Avraam,stand or sit,-0.9741248794471533,-1.0466690733632815,0.5884609663464005,-1.1384739655197844,-0.6591037704021366,-1.1472023222939642,-0.6079382888284008,-0.8431374561703668,-0.07109907790868387,0.816712000265123,-0.17965070386918996,0.5275416274692731
Avraam,stand or sit,-0.9745657064714754,-1.0480649485944342,0.1766309148374306,-1.1421023285370278,-0.6606259684623371,-1.150886215750998,-0.6079468612205993,-0.8431374561703668,0.44807528153063,1.102062313605313,-0.5191266800275416,0.5275371222362674
Avraam,stand or sit,-0.9762803314984493,-1.0486229613873799,0.1626635583612086,-1.1424897386945037,-0.6610467846392901,-1.1512671796126421,-0.6079591830382729,-0.8431374561703668,0.3222984626509564,0.9694871550791782,-0.42606005221822446,0.5275317019980628
Avraam,biking,-0.2551399098901548,-0.08709772103156889,0.7420980889516513,0.037219397950385154,-0.47580681521042434,0.06133474018014806,0.025279777487582318,-0.8431374561703668,-2.0038785122905023,-1.1599146969164287,1.734911970691658,0.31037391995342767
Avraam,biking,-0.497878696898349,-0.7288286419378208,-2.398795397742822,-0.8558960397627623,-0.07201120988709493,-0.8827492204878631,-0.5702737493501144,0.053363130137365,-0.9908408312060454,-1.5812388754061786,0.6761944862461952,0.5147531127540778
Avraam,biking,-0.4991266271414107,-0.7210799345128189,-1.9533690136112598,-0.8246398183853666,-0.3146595016153993,-0.8387602266373109,-0.5752872917316623,0.1654257034258315,-0.9129129764336986,-1.4897708686837725,0.5400808087074042,0.5143081632254828
Avraam,biking,-0.503210326778304,-0.7035524975257487,-1.9904886530627295,-0.833458879415546,-0.43155549344478356,-0.84229063589206,-0.5637058605842683,0.7257385698681639,-0.8310637789384269,-1.4868023353478736,0.5700038872050667,0.5122123350760428
