Participant,Activity,Mean,Std,Skewness,Max,Min,Max-Min,Max PSD,Max Frequency,Frequency Centroid,Frequency Bandwidth,Frequency Skewness,Spectral Entropy
Avraam,walking,6.49534901171728,4.507677903017293,1.866738545152386,27.940698281825522,0.41870275479191016,27.521995527033614,632.87714544,0.015625,0.0735585821220047,0.08956283643549633,2.1763378263969946,-37373.8423059117
Avraam,walking,6.469930580728557,4.394291625448086,1.6024335019159368,24.569096062344222,1.5394847531617786,23.029611309182442,1146.10987,0.015625,0.0676505271046358,0.07679507601297356,2.2607174121572164,-39434.26825056692
Avraam,walking,6.545641538954934,4.484401116766661,1.743709197383718,25.58770530628862,1.2818311554723913,24.305874150816226,1156.1233,0.015625,0.07022366508617728,0.0779413103735444,2.1370684902659502,-41020.42765701567
Avraam,walking,6.311483106470545,4.511058426795126,1.7022121080124548,24.843259907740112,1.0048607851544094,23.838399122585702,1098.47764,0.015625,0.07436315568636132,0.07977128401730418,1.8437272056850458,-39357.11507762957
Avraam,walking,6.164667387263005,4.3063750728558645,1.716671302187299,22.773719625947898,0.9400184238203239,21.833701202127575,1051.3391,0.015625,0.06876602924527418,0.07712429604235083,2.1460492742105264,-36900.02625239478
Avraam,walking,6.351400451796237,4.363581724430582,1.6548439883559487,23.87815384093702,0.6965768200208574,23.181577020916162,990.341931,0.015625,0.07328391061682657,0.07972928083446923,1.9702098633007106,-37805.6553952014
Avraam,standing,1.7274458102498078,3.7838323336072586,2.5333539136029533,20.423245445876784,0.0028859759017628127,20.420359469975022,450.789726,0.00390625,0.022472688286248977,0.05623880287467745,4.449018230087583,-5010.484774931566
Avraam,standing,0.10975569147949168,0.09527753329995563,2.2174190385013626,0.7305730231772853,0.005198395506257683,0.7253746276710277,0.23734121,0.00390625,0.07998526938408221,0.11354005366456865,1.6916703513871274,5.7948416834347585
Avraam,standing,0.10311504540831752,0.0682250982609024,1.8150418548223242,0.49567285681410495,0.006498697400980625,0.4891741594131243,0.06430907,0.00390625,0.11856751332619253,0.12606864317688665,0.9876824621066328,5.044848269780838
Avraam,standing,0.16911767606317127,0.10062045834165141,1.6262317395594739,0.7655450759620017,0.011456098585968006,0.7540889773760338,0.183996,0.015625,0.10262306674654831,0.1161246078020118,1.5182592170789657,11.673310285415349
Avraam,standing,0.1382787586507327,0.09753445810170351,2.2602233901592164,0.7678007586154928,0.009388848849013191,0.7584119097664797,0.13446357,0.00390625,0.09563233635528338,0.10346357203410353,1.4248910004335225,7.939798444054138
Avraam,standing,0.10307057202194665,0.07294895922126732,2.0230394733187937,0.5337510615116591,0.009901242782305938,0.5238498187293531,0.18728895,0.00390625,0.08519544498437741,0.11105970571465207,1.601531439592065,7.115532893690197
Avraam,jogging,14.34361465197049,10.422935715909238,1.606703518698355,54.752750032135786,0.2987270140067138,54.45402301812907,2955.32351,0.09765625,0.10053191266344579,0.0704723345317329,1.5832958968983797,-252361.32275069793
Avraam,jogging,17.264264117623473,10.885922530244827,1.7140830030496463,59.23269599836551,2.382596762248226,56.85009923611728,4662.13617,0.1015625,0.1109333293222013,0.07144398230738827,1.442463921660253,-310522.067313046
Avraam,jogging,17.512296368424604,11.074706185993131,1.5977202912007293,58.391189758168785,3.4918537544321144,54.89933600373667,5092.45681,0.1015625,0.10769805768481609,0.06999494398873747,1.3332757246670979,-333797.8041493619
Avraam,jogging,17.51671052839241,10.908823161275228,1.4507257169827426,59.37489045382217,2.8726248530988983,56.50226560072327,5381.96141,0.1015625,0.11459906529931045,0.06849416425128105,1.2603714610073842,-298594.70022749895
Avraam,jogging,17.894666520962303,11.0694279359911,1.41521184183369,58.68381338272965,2.519233681529908,56.16457970119974,5234.46432,0.1015625,0.1193207832539085,0.07004684547737548,1.4050372378527367,-317431.72473006934
Avraam,jogging,17.885717060854596,11.046614271049064,1.486149687010993,61.500738505315624,2.0258927886854123,59.47484571663021,5732.66596,0.1015625,0.1190715653533499,0.06884538860143058,1.2382232277530085,-327700.1554948012
Avraam,sitting,2.0551575176570607,4.214741989732813,2.6618523988792493,34.14887431139583,0.005399217814459452,34.14347509358137,472.335736,0.00390625,0.06737152994444456,0.10812037937052353,1.898813216718543,-9876.811256556615
Avraam,sitting,0.050075392344518174,0.030734755901242576,1.5761984440727286,0.225361033156903,0.0032372973698527947,0.22212373578705022,0.0221021602,0.01171875,0.1125925739647699,0.11925942938589033,1.2052681897650994,1.7454074350795352
Avraam,sitting,0.05768719969888004,0.048476553836536956,2.9639758943593955,0.449948453170443,0.0016295212051920635,0.44831893196525097,0.06712588,0.01171875,0.10389445399529977,0.1343175624707379,1.3351079578514928,3.9289691245676823
Avraam,sitting,0.057904420058085944,0.03890071921875697,2.0006202515132205,0.3200291098225083,0.004469704855061351,0.31555940496744694,0.06437952,0.00390625,0.0856033000252379,0.1118823212414439,1.8075609520727982,2.751384808162672
Avraam,sitting,0.05553977052225203,0.0341547013546664,1.7697393274960675,0.25201344508907836,0.0031492707135322624,0.2488641743755461,0.0502501613,0.00390625,0.102110287390024,0.11962465948579717,1.3848846226916187,2.2822184589726917
Avraam,sitting,0.04634231426285575,0.03225744103755011,1.7619089223143882,0.24475122814441627,0.0027842327714372563,0.24196699537297903,0.02994085,0.00390625,0.09811125253346459,0.11602753107162792,1.5007604530684273,1.7177652182799372
Avraam,biking,3.914626854778979,3.3014722430901378,2.0867525789149384,22.35904925722309,0.1634710621696225,22.195578195053468,1043.75965,0.00390625,0.024151178744220802,0.058251006478689624,4.191353563294618,-22612.678353668933
